name,TIC,nuchar(invday B2020),nucharerr(B2020),nuchar(invday),nucharperr,nucharmerr,sigmaA(mag),sigmaAperr,sigmaAmerr
HD96715,306491594,5.74308,0.00368,7.94,0.38,0.39,0.00124,0.00006,0.00006
HD46223,234881667,3.99087,0.00135,5.67,0.45,0.44,0.00174,0.00015,0.00014
HD155913,216662610,6.15743,0.00115,5.26,0.46,0.46,0.00237,0.00022,0.00020
HD46150,234840662,3.95351,0.00181,6.19,0.48,0.50,0.00120,0.00010,0.00009
HD90273,464295672,2.96658,0.00147,5.92,0.40,0.37,0.00171,0.00010,0.00010
HD53975,148506724,2.77860,0.00194,4.88,0.65,0.66,0.00126,0.00017,0.00015
HD41997,294114621,2.61022,0.00018,2.44,0.26,0.28,0.00446,0.00058,0.00052
HD46573,234947719,2.00862,0.00051,4.48,0.47,0.48,0.00201,0.00023,0.00021
HD48279,234009943,2.77586,0.00089,4.09,0.43,0.43,0.00155,0.00017,0.00015
HD74920,430625455,3.66392,0.00053,3.47,0.20,0.20,0.00327,0.00021,0.00022
HD135591,455675248,1.97700,0.00066,4.24,0.31,0.36,0.00189,0.00016,0.00016
HD326331,339568114,2.20987,0.00017,2.57,0.27,0.26,0.00541,0.00069,0.00059
HD123056,330281456,4.01672,0.00065,3.09,0.40,0.40,0.00270,0.00040,0.00032
HD97253,467065657,2.20426,0.00019,2.08,0.16,0.17,0.00451,0.00051,0.00043
HD156738,195288472,4.38608,0.00054,4.01,0.36,0.37,0.00233,0.00024,0.00023
HD36861,436103278,2.05434,0.00077,4.07,0.36,0.35,0.00160,0.00016,0.00014
HD150574,234648113,2.47023,0.00017,2.56,0.25,0.27,0.00568,0.00074,0.00060
HD152247,339570292,2.75008,0.00027,2.07,0.29,0.28,0.00442,0.00071,0.00066
HD55879,178489528,1.71966,0.00108,5.41,0.64,0.62,0.00091,0.00011,0.00009
HD154643,43284243,1.83226,0.00041,3.96,0.48,0.47,0.00208,0.00029,0.00023
CPD-472963,30653985,2.53356,0.00019,1.75,0.12,0.11,0.00527,0.00049,0.00043
HD156154,152659955,1.76469,0.00008,1.62,0.17,0.18,0.00790,0.00120,0.00104
HD112244,406050497,0.91870,0.00003,0.81,0.12,0.10,0.01374,0.00285,0.00249
HD151804,337793038,0.93978,0.00001,0.67,0.13,0.15,0.01138,0.00323,0.00261
HD303492,459532732,0.85247,0.00001,0.54,0.08,0.09,0.01316,0.00329,0.00266
HD152249,339567904,1.76168,0.00005,1.24,0.15,0.15,0.00931,0.00170,0.00142
HD152424,247267245,0.95329,0.00001,0.61,0.07,0.08,0.01715,0.00550,0.00383
HD154368,41792209,1.85794,0.00004,1.12,0.08,0.11,0.00857,0.00188,0.00145
HD152003,338640317,0.92626,0.00003,0.88,0.13,0.13,0.01354,0.00297,0.00256
HD152147,246953610,1.13960,0.00002,0.91,0.13,0.16,0.01296,0.00294,0.00233
